gloss,length,source,attachment_id,user_id
С ТЕХ ПОР КАК ЖЕЛАНИЕ ГАВКАНЬЕ РАНЕЕ ЛЮДИ ЛЮБОПЫТНЫЙ СЮРПРИЗ ВСПОМНИТЬ,8,slovo_dictionary,synth_14,synthetic
КРЕСТ ЛЕЧЬ СУХОЙ ЧИСТЫЙ О,5,slovo_dictionary,synth_15,synthetic
ТВОЙ ХОРОШО МЕНЯ САМОПРОВЕРКА,4,slovo_dictionary,synth_16,synthetic
САМОКОНТРОЛЬ ПАНДА ОТЧАЯННЫЙ ПЛАТИТЬ ОБЕСПОКОЕН ДНЕМ Х,7,slovo_dictionary,synth_17,synthetic
НЕПРИЯТНЫЙ НЕПОСЛУШНЫЙ ПОСТОЯННЫЙ,3,slovo_dictionary,synth_18,synthetic
ПОМОЩНИК ПОВАРА ПОНЯТЬ ГОРЕВАТЬ,3,slovo_dictionary,synth_19,synthetic
ТРЕТИЙ АККУРАТНЫЙ САМОВОСПРИЯТИЕ,3,slovo_dictionary,synth_20,synthetic
ОПЫТНЫЙ ВРЕМЕННЫЙ МЕДЛЕННЫЙ СИЛЬНЫЙ ДОВЕРЯТЬ Т СТРАХ ОБЛЕГЧЕНИЕ МОЧЬ ОСТРЫЙ,10,slovo_dictionary,synth_21,synthetic
ВОЗБУЖДЕНИЕ ДОВОЛЬНЫЙ БЫВШИЙ,3,slovo_dictionary,synth_22,synthetic
СЕРЕБРО ДРУГОЙ НЕЛОВКИЙ; НЕУКЛЮЖИЙ АККУРАТНЫЙ ЖЁЛТЫЙ ВАШ ТОТ ЖЕЛТЫЙ ОШАРАШЕННЫЙ ПРИЛИЧНЫЙ,10,slovo_dictionary,synth_23,synthetic
ОХОТНО БЕСПОКОЙНЫЙ ОКТЯБРЬ НЕСЧАСТЬЕ,4,slovo_dictionary,synth_24,synthetic
ЖИЗНЬ ЗНАЧИТ ПОДАВЛЕННЫЙ Й Б ДЕШЁВЫЙ ТЕБЕ СОБИРАТЬ КОГОТЬ НЕДОВОЛЬНЫЙ,10,slovo_dictionary,synth_25,synthetic
ПЯТЬ ПИСЬМО ИСКАТЬ СЛЕДУЮЩИЙ БОЛЬШОЙ ДИНОЗАВР НАЗНАЧЕННОЕ ВРЕМЯ,7,slovo_dictionary,synth_26,synthetic
РАЗДРАЖАТЬ НЕМЕДЛЕННО СУББОТА ИНТЕРЕСНЫЙ,4,slovo_dictionary,synth_27,synthetic
ВАС ИСПУГ СРАЗУ,3,slovo_dictionary,synth_28,synthetic
ЛЯГУШКА ОТРИЦАТЕЛЬНЫЙ ТОРЖЕСТВЕННЫЙ ГЕНИЙ ЧЕЛОВЕК,5,slovo_dictionary,synth_29,synthetic
МЕНЯ НРАВСТВЕННОСТЬ ЗАНЯТЫЙ ЕЩЕ НЕТ ОБЪЯТИЕ,5,slovo_dictionary,synth_30,synthetic
ТРИСТА ТЕ РЫЧАТЬ ОДНАЖДЫ ТРЕТИЙ СЗАДИ МЕЖДУ ТЕМ,7,slovo_dictionary,synth_31,synthetic
ПРОВЕРИТЬ ОПАСНЫЙ ОСЕНЬ СОМНЕНИЕ ВДОХНОВЕНИЕ ПИНГВИН,6,slovo_dictionary,synth_32,synthetic
АНИМАТОР СМЕШНОЙ ВЕЛИКИЙ СЗАДИ ПОВЕРХНОСТНЫЙ АДАПТИВНОЕ ПОВЕДЕНИЕ ТЕРЯТЬ,7,slovo_dictionary,synth_33,synthetic
КОГДА БИЛЕТ СМЕШНОЙ ИЗВЕСТНЫЙ ТЁМНЫЙ ЭТОТ СВИНЬЯ,7,slovo_dictionary,synth_34,synthetic
НАЧАТЬ ОЖИДАТЬ ГОРЬКИЙ ПОГОДА БАБОЧКА МГНОВЕНИЕ СОБАЧИЙ ДОМИК,7,slovo_dictionary,synth_35,synthetic
ТРИ ПЯТНАДЦАТЬ КРОЛИК СОЛЬ,4,slovo_dictionary,synth_36,synthetic
ПОЗВОНИТЬ НА СЕРВИС ЛАНЧ ЗЛОСТЬ С Л,5,slovo_dictionary,synth_37,synthetic
ЭТИ СЛЫШАТЬ КОЗЕЛ ИГРАТЬ АППЕТИТ ПОДРОБНО ПЕЧАЛЬ ВРАЖДЕБНЫЙ НАШ НОСОРОГ,10,slovo_dictionary,synth_38,synthetic
ВОСЬМОЙ СВОБОДНЫЙ ОДИННАДЦАТЬ МАЛЕНЬКИЙ ВАЖНЫЙ ВНИЗ,6,slovo_dictionary,synth_39,synthetic
ДЕКАБРЬ МИЛЕНЬКИЙ АППЕТИТ СМЕЯТЬСЯ КОГДА,5,slovo_dictionary,synth_40,synthetic
СОМНЕВАТЬСЯ ЖАЖДА МОТИВИРОВАТЬ,3,slovo_dictionary,synth_41,synthetic
ЗЕЛЁНЫЙ КРУЖКА МИГРАЦИЯ МУРАШКИ ОТНОШЕНИЕ ВИЛЯТЬ,6,slovo_dictionary,synth_42,synthetic
НРАВИТЬСЯ СМЕЯТЬСЯ ТРЕТИЙ РАЗУМНЫЙ НЕРВНЫЙ,5,slovo_dictionary,synth_43,synthetic
ПЯТНИЦА СВИНЬЯ ОТВЕТСТВЕННЫЙ ОДЕРЖИМЫЙ КУБОК ВОЗМОЖНО ИМЯ СЛЫШАТЬ,8,slovo_dictionary,synth_44,synthetic
ОДЕЖДА ОСТАНОВИТЬ РЫЧАНИЕ,3,slovo_dictionary,synth_45,synthetic
ПРИЯТНЫЙ САМООБМАН ПЕРО РОЗОВЫЙ ВТОРНИК ИСПУГАННЫЙ ЗНАТЬ НЕ ВЫНОСИТЬ КОЗЕЛ ВОЗМОЖНЫЙ,10,slovo_dictionary,synth_46,synthetic
КУВШИН ОТКУПОРИВАТЬ ИНОГДА ВЗЯТЬ ЧАСЫ НЕПРИЯТНЫЙ ЗВЕРЬ ТРИНАДЦАТЬ ДВЕНАДЦАТЫЙ,9,slovo_dictionary,synth_47,synthetic
ОБУЧАТЬ ВЫСОКОМЕРНЫЙ СИЛЬНЫЙ Ш,4,slovo_dictionary,synth_48,synthetic
ДЕНЬ НИЗКИЙ ТРУСЛИВО Б ЛИЦО СМЕХ МИНУТА ДЕНЬГИ ЛЮБОВНЫЙ,9,slovo_dictionary,synth_49,synthetic
"МУРАШКИ НЕЖНЫЙ, МЯГКИЙ ДВАДЦАТЬ ДЕВОЧКА ЖЕЛАНИЕ СМЕЛОСТЬ МИНУТА ОШИБКА СМИРИТЬСЯ",9,slovo_dictionary,synth_50,synthetic
ЖАДНОСТЬ ДЕЛАТЬ ВЫВОДЫ ОРЕЛ КАРАНДАШ ИНОСТРАННЫЙ,5,slovo_dictionary,synth_51,synthetic
ПРОЩАНИЕ ВОСКРЕСЕНЬЕ ВРЕМЯ ДЛЯ ИЗМЕРЕНИЙ ШЕСТЬ ЛОГИЧНЫЙ ТИГР Й КНИГА,8,slovo_dictionary,synth_52,synthetic
Ь УГРЮМЫЙ ИГРАТЬ ХОРОШО СКОРБЕТЬ ВЫСОКИЙ,6,slovo_dictionary,synth_53,synthetic
ЗДЕСЬ ОБНИМАТЬ СОБАЧИЙ ДОМИК НЕВЕРИЕ ОДАРЕННЫЙ ДАТЬ КРЕСТ,7,slovo_dictionary,synth_54,synthetic
САМОМНЕНИЕ Ж СЕГОДНЯ ДОМ НИЧЕГО ЗДЕСЬ БОЛЬ СОМНЕВАТЬСЯ,8,slovo_dictionary,synth_55,synthetic
ВАШ САРКАЗМ ПРИВЕЗТИ СЛОВО С,5,slovo_dictionary,synth_56,synthetic
АППЕТИТ ПОНЯТЬ ВОЛ ИДТИ,4,slovo_dictionary,synth_57,synthetic
ЛОШАДЬ ПРИВЕЗТИ САРКАЗМ МУДРЫЙ НРАВСТВЕННОСТЬ,5,slovo_dictionary,synth_58,synthetic
РЫЧАТЬ НЕРВНЫЙ КРЫСА,3,slovo_dictionary,synth_59,synthetic
ПРОДОЛЖИТЬ СМЕЛОСТЬ НЕУДОБСТВО СЛАБОСТЬ ВОЗБУЖДЕНИЕ ВЕСЬ,6,slovo_dictionary,synth_60,synthetic
ДАТЬ КУРИЦА ТВОЙ,3,slovo_dictionary,synth_61,synthetic
ВОЙ УТРО ОТТЕНОК РАННИЙ,4,slovo_dictionary,synth_62,synthetic
СПАТЬ МОЧЬ СОЖАЛЕНИЕ НЕСЧАСТЬЕ ДРУЖЕЛЮБНЫЙ,5,slovo_dictionary,synth_63,synthetic
ВТОРОЙ ЖАДНО ЕСТЬ ТРИ ТЫСЯЧИ СОМНЕВАТЬСЯ СНАЧАЛА Ё АРОМАТНЫЙ АКУЛА ЛИЦО,9,slovo_dictionary,synth_64,synthetic
ПОКА ТЁПЛЫЙ ИСТЕРИК НАШ ЕДА,5,slovo_dictionary,synth_65,synthetic
СВЕРХУ ТОРЖЕСТВЕННЫЙ ПРОЗРАЧНЫЙ ГЛАЗ СТОЙКОСТЬ СЛЕДОВАЛО НЕОЖИДАННЫЙ ВТОРНИК РАБ,9,slovo_dictionary,synth_66,synthetic
ЗАВАРОЧНЫЙ ЧАЙНИК МИЛЕНЬКИЙ О ВДОХНОВЕНИЕ МИНУТА СЕМЬ,6,slovo_dictionary,synth_67,synthetic
ОТ ЖЕНА Ц НЕЖНЫЙ ВЕЧНЫЙ,5,slovo_dictionary,synth_68,synthetic
СУХОЙ ВИТАМИН ПОСТЕПЕННО,3,slovo_dictionary,synth_69,synthetic
ОЖИДАЮЩИЙ Й ПИТЬ МИР ДЕТСКИЙ ИСКРЕННИЙ СЕМЬ НЕНАВИДЕТЬ СЕДЬМОЙ И,10,slovo_dictionary,synth_70,synthetic
СКОРО ВРЕМЯ 11 ЧАСОВ ПЯТНИЦА ВОСЕМЬДЕСЯТ СПАТЬ БОЛИТ МОТИВИРОВАТЬ ЗНАЧИТЬ,8,slovo_dictionary,synth_71,synthetic
СТО ДОВЕРЯТЬ ОПЫТНЫЙ СНАЧАЛА НЕУВАЖЕНИЕ НЕОЖИДАННЫЙ НАБЛЮДАТЕЛЬНОСТЬ,7,slovo_dictionary,synth_72,synthetic
БРЮЗЖАТЬ ДАТЬ ЗООПАРК ЛЕТУЧАЯ МЫШЬ ТРИ ТЫСЯЧИ,5,slovo_dictionary,synth_73,synthetic
НАЧИНАТЬ КОМНАТА СТЫДНО НЕОБХОДИМЫЙ БУДУЩЕЕ ТЫСЯЧА ПОНЯТЬ,7,slovo_dictionary,synth_74,synthetic
ГОРДОСТЬ ДОВОЛЬНО МЫ Ц ЗМЕЯ ВСКРУЖИТЬ ПРИЛИЧНЫЙ,7,slovo_dictionary,synth_75,synthetic
ШЕСТНАДЦАТЬ ПОДАВЛЕННЫЙ СТО ЕСЛИ НЕОБХОДИМЫЙ БЕСПОКОЯЩИЙ РЫБА МЕДУЗА ВЧЕРА,9,slovo_dictionary,synth_76,synthetic
ДАТЬ ПАУЧЬЯ СЕТЬ СПРОСИТЬ ТРУС ПОКА ЛЮДИ МОДНЫЙ УГРЮМЫЙ РАСПИСАНИЕ,9,slovo_dictionary,synth_77,synthetic
ОБЕСПОКОЕН ДВЕ ТЫСЯЧИ МИЛОСЕРДНЫЙ РАСПИСАНИЕ ЖИВОТНОЕ ГРЯЗНЫЙ ОТВАЖИТЬСЯ,7,slovo_dictionary,synth_78,synthetic
БАБОЧКА РЕДКО ВЕЗДЕ СЕГОДНЯ ПОСЛЕДНИЙ КРАСНЫЙ ПОКАЯНИЕ НАХАЛЬНЫЙ ЛЕНИВЫЙ РЕВНИВЫЙ,10,slovo_dictionary,synth_79,synthetic
НИКТО ВСЁ В СПЕШКЕ ГАВКАНЬЕ Е КРАСНЫЙ ЛЕНИВЫЙ СЕМЬДЕСЯТ ОЖИВЛЕННЫЙ ПРИВЫК,10,slovo_dictionary,synth_80,synthetic
ОТНОШЕНИЕ ПАУК ГЛОТАТЬ ЖАДНО ВРЕМЕННЫЙ СКОЛЬКО МЕЖДУ ПРОВЕРИТЬ,7,slovo_dictionary,synth_81,synthetic
ПРИЕМ ПИЩИ ВВЕРХ ПОДНОС МЕСТО ДЛЯ ПИКНИКА РАССТРОЕННЫЙ НЕВИНОВНЫЙ МИНУТА ДОВОЛЕН,8,slovo_dictionary,synth_82,synthetic
ЖАЛОСТЬ ГРЯЗНЫЙ СЧАСТЬЕ,3,slovo_dictionary,synth_83,synthetic
ДЕВЯТЬ ПЕРЕД ОДНОВРЕМЕННОСТЬ ЕЙ СЛИШКОМ,5,slovo_dictionary,synth_84,synthetic
ШУТИТЬ СЛЕДУЮЩИЙ РЕБЁНОК ИЗУЧИТЬ ПОДЛИННЫЙ РАННИЙ ОТЧАЯННЫЙ КРАСНОВАТЫЙ,8,slovo_dictionary,synth_85,synthetic
РАДОСТЬ ОБРАЗОВАННЫЙ ПОКАЯНИЕ ВИЛЯТЬ ВЫИГРЫШ НЕДОВОЛЬНЫЙ ДОРОГА ПРИЙТИ,8,slovo_dictionary,synth_86,synthetic
ОТНОШЕНИЕ ИНТЕЛЛЕКТУАЛЬНЫЙ ВСЕ,3,slovo_dictionary,synth_87,synthetic
ШЕСТОЙ НЕУДОБСТВО ВЕЖЛИВЫЙ,3,slovo_dictionary,synth_88,synthetic
СТОРОНА НАДЕЖДА КЛЮЧ,3,slovo_dictionary,synth_89,synthetic
ПОЧКИ ВЕЗДЕ УЛИЦА ГОРОД ДЕТСКИЙ ОЧЕНЬ ПОВАР ЛЕТУЧАЯ МЫШЬ ПИТЬЕВАЯ ВОДА Ц,10,slovo_dictionary,synth_90,synthetic
ОБРАЗОВАННЫЙ НЕЖНЫЙ ЗЛОЙ ЗАБРАТЬ МИГРАЦИЯ ВРЕД,6,slovo_dictionary,synth_91,synthetic
ПОЗВОЛИТЬ ПОЛОЖИТЕЛЬНЫЙ ЧЕТЫРЕ ТЫСЯЧИ ОТЛОЖИТЬ ТРУС ОДОЛЖИТЬ ДЕЛЬФИН ЗЕЛЁНЫЙ,8,slovo_dictionary,synth_92,synthetic
ИНОГДА Д ДОВЕРЯТЬ ТЕРПЕТЬ НЕСКОЛЬКО НРАВСТВЕННОСТЬ ПРИЙТИ ЛЕНИВЫЙ САМООБМАН,9,slovo_dictionary,synth_93,synthetic
ШУТИТЬ КРОТОСТЬ АНИМАТОР МИЛЫЙ НАСЛАЖДАЙСЯ,5,slovo_dictionary,synth_94,synthetic
ПРАВША ПРАГМАТИЧНЫЙ СЛЫШАТЬ ТЫ ОБЕДАТЬ ОТЕЦ,6,slovo_dictionary,synth_95,synthetic
СЛИШКОМ Г ЛЕВ Ы ОБЛЕГЧЕНИЕ ОТНОШЕНИЕ ЕСТЬ МЕРТВЫЙ ОДНОВРЕМЕННОСТЬ НАКОНЕЦ,10,slovo_dictionary,synth_96,synthetic
БЫСТРО ЖЕНАТ ОСТОРОЖНЫЙ СЕМЬСОТ ОТВЕТИТЬ БОЛИТ СЕВЕР ЮГ,8,slovo_dictionary,synth_97,synthetic
Ю Ж ЖИТЬ ДОВОЛЬНО РАЗДРАЖАТЬ ЗАКАЗЫВАТЬ ЗАВИСТЬ ПИСАТЬ ДВАЖДЫ,9,slovo_dictionary,synth_98,synthetic
Ё СПОСОБ ЛЕЖАТЬ РАЗЪЯРЕННЫЙ ДОМ ВОРОТНИК,6,slovo_dictionary,synth_99,synthetic
ПОМОЧЬ ИЗНОШЕННЫЙ ВОЗМОЖНО СЛОВО ДО КРАСИВЫЙ ДОРОГА СКУЧАЮЩИЙ ВТОРОЙ,9,slovo_dictionary,synth_100,synthetic
ЖЕЛАНИЕ ЖАРКИЙ КРАСНЫЙ ЗАТЕМ; ПОТОМ МИНИМУМ РАЗГНЕВАННЫЙ НАД,7,slovo_dictionary,synth_101,synthetic
БЛИЗКО ВОПРОС ОБА ИСПУГ,4,slovo_dictionary,synth_102,synthetic
ПОСЛЕДНИЙ НАИВНЫЙ АГРЕССИВНЫЙ ЖАРИТЬ СЕДЬМОЙ,5,slovo_dictionary,synth_103,synthetic
ИМПУЛЬС ЗОЛОТОЙ ДИСТРЕСС ЧЕТЫРЕ ТЫСЯЧИ,4,slovo_dictionary,synth_104,synthetic
ПРОДЛЕВАТЬ ИНОГДА РАССЕЯННЫЙ ТРИСТА СОЛНЦЕ БИЛЕТ ЗАПАСЛИВЫЙ ПЛОХОЙ,8,slovo_dictionary,synth_105,synthetic
ПЕЧАЛЬ ЖАЖДУЩИЙ РАССЕЯННЫЙ ИНИЦИАТИВА ПОМОЩНИК ПОВАРА ВАС МОТИВИРОВАТЬ БАНКЕТ ОРАНЖЕВЫЙ ПРОВЕРИТЬ,10,slovo_dictionary,synth_106,synthetic
ВРАЖДЕБНЫЙ ПЛАТА ЗА ВХОД КОМНАТА ДЕКАБРЬ СЛЕДУЮЩИЙ ЖЕЛАНИЕ МИНИМУМ ЖЁЛТЫЙ,8,slovo_dictionary,synth_107,synthetic
ЗАКУСКА ПЕРЕД ЕДОЙ ЖЁЛТЫЙ НЕСЧАСТЬЕ ИНТЕЛЛЕКТУАЛЬНЫЙ ОЛЕНЬ,5,slovo_dictionary,synth_108,synthetic
ВИЛЯТЬ МАЛЕНЬКИЙ БЕЛЫЙ ДЕВЯТЬСОТ,4,slovo_dictionary,synth_109,synthetic
ВЛЮБЛЕННЫЙ НЕВЕРИЕ ЧТО НУЖДАТЬСЯ НЕОЖИДАННЫЙ РАД НАС,7,slovo_dictionary,synth_110,synthetic
ГОРОД ПОДАВЛЕННЫЙ ОТВАЖИТЬСЯ ВЫХОДНЫЕ ПАМЯТЬ ТРИСТА КАФЕТЕРИЙ ГОЛОС ГОРДОСТЬ,9,slovo_dictionary,synth_111,synthetic
ВЕЧНЫЙ КАФЕ ДЕВОЧКА ТАЛАНТ ЯЗЫК ЗАПАД ПОЛНЫЙ П ПОКА (ЧТО) ХОРОШО,10,slovo_dictionary,synth_112,synthetic
СЧАСТЬЕ ЖЕВАТЬ СИНИЙ НЕВИНОВНЫЙ РАЗЛИЧНЫЙ АЛЛЕРГИЯ НА ЕДУ ТЁПЛЫЙ ПАУК БЕСПОКОЙСТВО,9,slovo_dictionary,synth_113,synthetic
ЛУЧШИЙ С ТЕХ ПОР КАК ЗАКУСКА ПЕРЕД ЕДОЙ УТРО ВОЛ Б,6,slovo_dictionary,synth_114,synthetic
ПОПУГАЙ ПОДЛИННЫЙ ЧЕТЫРЕ ДРУГОЙ СНАЧАЛА,5,slovo_dictionary,synth_115,synthetic
ЧЕТВЕРТЫЙ ДВЕ НЕДЕЛИ ОТВРАЩЕНИЕ ЗЛОСТЬ РАЗОЧАРОВАННЫЙ КОРОТКИЙ ОШЕЛОМИТЬ ПОСЛУШНЫЙ,8,slovo_dictionary,synth_116,synthetic
НАКОНЕЦ-ТО ОБЛЕГЧЕНИЕ ЛЕТУЧАЯ МЫШЬ НАДОЕЛО БЫСТРЫЙ КОЗА,6,slovo_dictionary,synth_117,synthetic
ЧЕЛОВЕК ЛЕТО РАЗГНЕВАННЫЙ ЦЕМЕНТ Т,5,slovo_dictionary,synth_118,synthetic
ОТЧАЯТЬСЯ ТРИСТА ИНАЧЕ ВОЛ ОКУНАТЬ ДРУЖЕЛЮБНЫЙ НОВЫЙ ИГРАТЬ У,9,slovo_dictionary,synth_119,synthetic
ГОВОРИТЬ КУСОК РАДОСТНЫЙ НАЛОГ Р КТО?,6,slovo_dictionary,synth_120,synthetic
РАЗДРАЖАТЬ ЧТО-НИБУДЬ ПАНДА ПРОЩАНИЕ МУЖ ОРАНЖЕВЫЙ ЛЯГУШКА,7,slovo_dictionary,synth_121,synthetic
ПРЕДУСМОТРИТЕЛЬНЫЙ ПОСТЕПЕННО ПЕТЬ ВЕРОЯТНО СКОРБЕТЬ БОЛЬШЕ РОГА ВОСХИЩЕНИЕ МУЖЧИНА,9,slovo_dictionary,synth_122,synthetic
СЕРЕБРО ОШАРАШЕННЫЙ СМИРИТЬСЯ КЛЕТКА РЕЛИГИЯ МУРАШКИ НИКОГДА,7,slovo_dictionary,synth_123,synthetic
ВОПРОС ВТОРОЙ МЕЖДУ ТЕМ ЖЕНАТ ТРУСЛИВО,5,slovo_dictionary,synth_124,synthetic
РАННИЙ ТРИДЦАТЬ ОСОБЕННО ОТКУПОРИВАТЬ СРЕДА РАССТРОЙСТВО НАВЕРХУ,7,slovo_dictionary,synth_125,synthetic
ГОЛОД УДИВЛЁН НИЗКИЙ МЫ НЕМЕДЛЕННО БУТЫЛКА ПОЧКИ ДОМИНИРУЮЩИЙ,8,slovo_dictionary,synth_126,synthetic
ГРУСТНЫЙ ЖЕНА СОЖАЛЕТЬ ЖАДНЫЙ ЛУЧШИЙ ДЕЛЬФИН ЖАДНО ЕСТЬ ОДНАЖДЫ ГОЛОД,9,slovo_dictionary,synth_127,synthetic
СМЕШНОЙ АКУЛА АДАПТИВНЫЙ НЕЖНЫЙ ОСТРЫЙ,5,slovo_dictionary,synth_128,synthetic
ПРОТИВ КУСОК ПОЧВА СИЛЬНЫЙ СЕМЬЯ СТОРОНА НАВСЕГДА ТАЛАНТ ФУТБОЛ,9,slovo_dictionary,synth_129,synthetic
СКРОМНЫЙ СЕГОДНЯ ПОСЫЛАТЬ ОПЯТЬ ПОМОЩНИК ПОВАРА ВРЕМЯ ПО ГРИНВИЧУ ТРУСЛИВО РАДОСТЬ,8,slovo_dictionary,synth_130,synthetic
СЕСТРА ПРАГМАТИЧНЫЙ ДВЕНАДЦАТЬ АРОМАТНЫЙ,4,slovo_dictionary,synth_131,synthetic
ВОСЬМОЙ КУПИТЬ ЦЕМЕНТ РЕБЯЧЕСКИЙ СЛЫШАТЬ ЧТО ЕСТЬ ВНИЗУ ЗАТЕМ; ПОТОМ ЗЛОСТЬ,10,slovo_dictionary,synth_132,synthetic
СОМНЕНИЕ ПОДОЗРЕВАТЬ С ЖЕНА,4,slovo_dictionary,synth_133,synthetic
О 7:45 ПЕРЕВОДИТЬ ОБЪЯТИЕ,4,slovo_dictionary,synth_134,synthetic
ПЕРВЫЙ БЕЗ МЕНЯ БЕСПОКОЯЩИЙ ПУТЕШЕСТВОВАТЬ С ТЁМНЫЙ НАЗНАЧЕННОЕ ВРЕМЯ Ь,9,slovo_dictionary,synth_135,synthetic
ХОЛОДНЫЙ РЕЛИГИЯ ВЕЧНЫЙ СВЕРХУ,4,slovo_dictionary,synth_136,synthetic
С ТЕХ ПОР КАК САМОАНАЛИЗ ГАВКАНЬЕ АМБИЦИОЗНЫЙ НАСЛАЖДАЙСЯ ТРУС ЧАСТО,7,slovo_dictionary,synth_137,synthetic
СНАЧАЛА ПИСЬМО ГОРЮЮЩИЙ Ь ИНОГДА ГОРДЫЙ ХОРОШО ЯЗЫК УДИВЛЁН ЧЕТВЕРГ,10,slovo_dictionary,synth_138,synthetic
ЛЮДИ ДИНОЗАВР СТЫДНО ИНОСТРАННЫЙ С КОТОРЫЙ ОТКЛАДЫВАТЬ,7,slovo_dictionary,synth_139,synthetic
НРАВИТЬСЯ АЛЛИГАТОР ОБЫЧНО,3,slovo_dictionary,synth_140,synthetic
МАЛЬЧИК ОДИННАДЦАТЬ ЛОСЬ СМЕЛОСТЬ КОРИЧНЕВЫЙ ТИГР КРАТКИЙ,7,slovo_dictionary,synth_141,synthetic
ЖЕЛТЫЙ НАРОД ДЕВЯНОСТО ДЕСЯТЫЙ СЕМНАДЦАТЬ ВАШ БУДУЩЕЕ СИНИЙ ОХОТНО РАССЛАБЛЕНИЕ,10,slovo_dictionary,synth_142,synthetic
РАССЕРДИТЬСЯ СВОБОДНЫЙ РАБ И БОЛИТ БЛАГОГОВЕНИЕ ПЯТЫЙ ПРИЯТНЫЙ,8,slovo_dictionary,synth_143,synthetic
С ДНЕМ РОЖДЕНИЯ РАСПИСАНИЕ АГРЕССИЯ ПРОТИВ ЯСНЫЙ ЖДАТЬ,6,slovo_dictionary,synth_144,synthetic
ПРЕДЫДУЩИЙ ЗАВИСТЬ ПЕРЕВАРИВАТЬ ЧАС АНИМАТОР П,6,slovo_dictionary,synth_145,synthetic
ОБЕДАТЬ ЯЗЫК МИР БЫВШИЙ МОДНЫЙ ПАУЧЬЯ СЕТЬ НРАВСТВЕННОСТЬ ТОЖЕ БЛЕДНЫЙ,9,slovo_dictionary,synth_146,synthetic
ВОСЕМЬДЕСЯТ ПАВЛИН РЕБЯЧЕСКИЙ,3,slovo_dictionary,synth_147,synthetic
РАЗГНЕВАННЫЙ МНОГО ПОКРАСНЕТЬ НЕВИНОВНЫЙ ГЛОТАТЬ ЖАДНО,5,slovo_dictionary,synth_148,synthetic
ТЕРЯТЬ РАБ РУЧКА ШУМ ЛЮБИТЬ Б,6,slovo_dictionary,synth_149,synthetic
В ЭТОМ ГОДУ ТОРЖЕСТВЕННЫЙ ПРЕЗРЕНИЕ БОЛЬШОЙ ОЗАБОЧЕННЫЙ ГОТОВЫЙ РАЗОЧАРОВАННЫЙ БОЮСЬ ВЕРНЫЙ,9,slovo_dictionary,synth_150,synthetic
НАЧАЛО ПРИНЕСТИ ПОГОДА,3,slovo_dictionary,synth_151,synthetic
СЛАБОСТЬ Д МНОГО СВИНЬЯ,4,slovo_dictionary,synth_152,synthetic
